Date,Return
2015-01-05,-0.018059459578049886
2015-01-06,-0.009419182788620528
2015-01-07,0.012461457931531195
2015-01-08,0.01774471199957328
2015-01-09,-0.008013295787220431
2015-01-12,-0.007833687196088457
2015-01-13,-0.00281284148522154
2015-01-14,-0.006036930015238529
2015-01-15,-0.009160880193904153
2015-01-16,0.013114610128415638
2015-01-20,0.0021321378459602247
2015-01-21,0.005048667354378145
2015-01-22,0.014870542121218966
2015-01-23,-0.005482709468490055
2015-01-26,0.0023418600876248252
2015-01-27,-0.013190697107015925
2015-01-28,-0.01282391085678991
2015-01-29,0.00924344977966074
2015-01-30,-0.012575106330718566
2015-02-02,0.012383989373892845
2015-02-03,0.014461385916539893
2015-02-04,-0.0038082949796763854
2015-02-05,0.010095335659002114
2015-02-06,-0.0027650432333549135
2015-02-09,-0.004476106412234837
2015-02-10,0.01065347077167167
2015-02-11,0.0005801674680991908
2015-02-12,0.009616660744993899
2015-02-13,0.004116708113784062
2015-02-17,0.0015730688379185231
2015-02-18,9.513227921065237e-05
2015-02-19,-0.0007140781421204334
2015-02-20,0.006000623149017503
2015-02-23,-0.00014189174128487192
2015-02-24,0.0028409265874072
2015-02-25,-0.0008499241244207534
2015-02-26,-0.001181435081323956
2015-02-27,-0.0034060930912682696
2015-03-02,0.006313563416241896
2015-03-03,-0.00410419073575885
2015-03-04,-0.004215608163829154
2015-03-05,0.001094050618272835
2015-03-06,-0.014064261857594018
2015-03-09,0.004144702767544084
2015-03-10,-0.01622205902473317
2015-03-11,-0.0023415668333744977
2015-03-12,0.012713808420452333
2015-03-13,-0.006132370200891746
2015-03-16,0.013360743821624999
2015-03-17,-0.002972929007024505
2015-03-18,0.012021704737409822
2015-03-19,-0.004561106950493277
2015-03-20,0.00882662518447841
2015-03-23,-0.0019485292842852386
2015-03-24,-0.005619190574601696
2015-03-25,-0.01465353377054135
2015-03-26,-0.002381627349914539
2015-03-27,0.0022897483800312646
2015-03-30,0.012199814110904317
2015-03-31,-0.008739424964720688
2015-04-01,-0.003536238983381179
2015-04-02,0.003597557363890891
2015-04-06,0.006733035147563848
2015-04-07,-0.0026463807316381427
2015-04-08,0.0033768099261228812
2015-04-09,0.004423795834845867
2015-04-10,0.005456778753409441
2015-04-13,-0.0045226510736617875
2015-04-14,0.0019132883383885524
2015-04-15,0.00448654875567267
2015-04-16,-0.000284996766482859
2015-04-17,-0.011503261967012235
2015-04-20,0.009136646665514725
2015-04-21,-0.001191289799366002
2015-04-22,0.004914079320219367
2015-04-23,0.0025162061357950627
2015-04-24,0.002320722522367147
2015-04-27,-0.004157838789058621
2015-04-28,0.003178800129945536
2015-04-29,-0.004114695974957949
2015-04-30,-0.010020397323366681
2015-05-01,0.01084157190017998
2015-05-04,0.0028471693373719464
2015-05-05,-0.01145171952734092
2015-05-06,-0.0041170534355170485
2015-05-07,0.0039895875316204865
2015-05-08,0.013166197526495838
2015-05-11,-0.004772621924531983
2015-05-12,-0.002991379896413293
2015-05-13,0.0001904049788816753
2015-05-14,0.0104276383438755
2015-05-15,0.0010839253551808703
2015-05-18,0.003106847531109791
2015-05-19,-0.0003285013337770426
2015-05-20,-0.0007040526651599377
2015-05-21,0.0029124430943903157
2015-05-22,-0.0023890047006939197
2015-05-26,-0.010751516892261948
2015-05-27,0.009492043650415782
2015-05-28,-0.0011282492798910804
2015-05-29,-0.006212938175470306
2015-06-01,0.0020364717983556435
2015-06-02,-0.0009924585392945273
2015-06-03,0.002649300373275265
2015-06-04,-0.00844640929056828
2015-06-05,-0.001713289381069183
2015-06-08,-0.0061496639665915565
2015-06-09,-0.00014374371449332735
2015-06-10,0.011993431814121047
2015-06-11,0.0032233832242962723
2015-06-12,-0.0076550698936667105
2015-06-15,-0.0042854110510139876
2015-06-16,0.005451909991499138
2015-06-17,0.0016170575278626753
2015-06-18,0.010399324426737078
2015-06-19,-0.004439037193962769
2015-06-22,0.0051231127033994905
2015-06-23,0.0007074978928829356
2015-06-24,-0.007262755577226554
2015-06-25,-0.003040023454442764
2015-06-26,-0.00019071598065856232
2015-06-29,-0.020970561850046976
2015-06-30,0.002093472689644882
2015-07-01,0.008015238467430796
2015-07-02,-0.0009157015701639626
2015-07-06,-0.002845496849544049
2015-07-07,0.006288335679956569
2015-07-08,-0.016777191494025345
2015-07-09,0.0018090975642721663
2015-07-10,0.012591471943761201
2015-07-13,0.011037155445939195
2015-07-14,0.004338423324308005
2015-07-15,-0.00033238932353085726
2015-07-16,0.008024208884364725
2015-07-17,0.0008478026640976744
2015-07-20,0.0005180234398771688
2015-07-21,-0.003951384286572712
2015-07-22,-0.0017949875615248523
2015-07-23,-0.00562968494563143
2015-07-24,-0.010372109869645207
2015-07-27,-0.0058170625923928965
2015-07-28,0.012282839652998145
2015-07-29,0.006878997725903835
2015-07-30,0.00023743035763712506
2015-07-31,-0.0015181776220463128
2015-08-03,-0.003372697131573399
2015-08-04,-0.0019542583962726123
2015-08-05,0.0032952905225287488
2015-08-06,-0.008187838484949195
2015-08-07,-0.0019198498201246084
2015-08-10,0.012599261639606896
2015-08-11,-0.009023250794255033
2015-08-12,0.0011982292129413263
2015-08-13,-0.0012444932217517968
2015-08-14,0.0036420948500042183
2015-08-17,0.005586936454762492
2015-08-18,-0.0028962475054751247
2015-08-19,-0.007905737633000176
2015-08-20,-0.020881511836304267
2015-08-21,-0.030102524677639853
2015-08-24,-0.04210670608093692
2015-08-25,-0.011767995263606501
2015-08-26,0.03839411899775058
2015-08-27,0.0247350225715377
2015-08-28,5.000790653242326e-05
